Date,Open,High,Low,Close,Adj Close,Volume
1996-02-02,27.25,27.46875,27.1875,27.40625,17.223515,12443600
1996-02-05,27.34375,28.09375,27.3125,28.0625,17.635939,13139600
1996-02-06,28.21875,28.78125,28.15625,28.6875,18.028713,20158400
1996-02-07,28.5,28.65625,27.875,28.15625,17.850409,16100800
1996-02-08,28.09375,28.625,27.96875,28.375,17.989101,12778400
1996-02-09,28.34375,28.59375,28.25,28.375,17.989101,13486000
1996-02-12,28.53125,28.96875,28.46875,28.8125,18.266460000000002,14666400
1996-02-13,28.5,28.71875,28.375,28.40625,18.008905,13870800
1996-02-14,28.46875,28.75,28.4375,28.5625,18.107962,12949600
1996-02-15,28.59375,29.625,28.5625,29.40625,18.642886999999998,23341200
1996-02-16,29.5,29.71875,29.375,29.5,18.702316,19943600
1996-02-20,29.1875,30.21875,29.1875,29.78125,18.880627,21288800
1996-02-21,29.75,30.15625,29.65625,30.0625,19.058941,16389200
1996-02-22,30.4375,31.40625,30.3125,31.03125,19.6731,21423200
1996-02-23,31.25,31.53125,31.0,31.40625,19.910830999999998,16504800
1996-02-26,30.96875,31.375,30.96875,31.21875,19.791967,11530000
1996-02-27,31.28125,32.21875,31.125,32.1875,20.406129999999997,18451600
1996-02-28,31.90625,32.21875,31.75,31.84375,20.188206,17548000
1996-02-29,31.25,31.84375,30.5,30.65625,19.435361999999998,29171600
1996-03-01,30.40625,30.4375,29.25,29.53125,18.722128,32179600
1996-03-04,29.6875,30.3125,28.8125,29.03125,18.405142,17288400
1996-03-05,29.28125,29.875,29.03125,29.75,18.860817,14176800
1996-03-06,29.9375,29.96875,29.09375,29.25,18.543835,10936800
1996-03-07,29.25,29.375,28.84375,29.28125,18.563629000000002,9881600
1996-03-08,28.875,29.21875,28.0625,28.5625,18.107962,21520400
1996-03-11,28.46875,29.46875,28.46875,29.3125,18.583448,15744000
1996-03-12,28.90625,29.0,28.40625,28.5625,18.107962,16806400
1996-03-13,28.625,29.15625,28.625,28.96875,18.36553,11243200
1996-03-14,29.125,29.6875,29.03125,29.21875,18.524008,11489200
1996-03-15,29.21875,30.0,28.9375,29.96875,18.999493,14086000
1996-03-18,30.15625,31.28125,30.125,31.15625,19.752352,15021600
1996-03-19,31.1875,31.375,30.375,30.4375,19.296673000000002,11192000
1996-03-20,30.21875,30.21875,28.5625,29.25,18.543835,30271600
1996-03-21,29.375,29.46875,28.53125,28.71875,18.207026000000003,15115200
1996-03-22,28.75,28.9375,28.5625,28.5625,18.107962,8949600
1996-03-25,28.71875,28.78125,27.09375,27.1875,17.236248,18889600
1996-03-26,27.09375,28.0,26.90625,27.6875,17.553236,18235600
1996-03-27,27.78125,28.4375,27.5625,27.8125,17.632488000000002,14479200
1996-03-28,27.96875,28.09375,27.375,27.4375,17.394743,12186400
1996-03-29,27.59375,28.4375,27.59375,27.8125,17.632488000000002,11726400
1996-04-01,28.03125,28.1875,27.5,27.59375,17.493801,9518000
1996-04-02,27.75,29.53125,27.625,29.40625,18.642886999999998,21628800
1996-04-03,29.375,30.125,29.03125,29.9375,18.979682999999998,16599600
1996-04-04,29.96875,29.96875,29.3125,29.4375,18.662695000000003,10010000
1996-04-08,28.90625,29.84375,28.625,29.84375,18.920258,15990800
1996-04-09,29.9375,30.03125,29.375,29.46875,18.682503,7857600
1996-04-10,29.4375,30.21875,28.78125,29.0,18.385326,12752400
1996-04-11,29.09375,29.59375,28.6875,29.375,18.623074,15079200
1996-04-12,28.8125,28.90625,27.53125,27.875,17.67211,31044000
1996-04-15,28.15625,28.59375,27.875,28.53125,18.088154,9177200
1996-04-16,28.78125,29.09375,28.65625,28.875,18.306085999999997,9754000
1996-04-17,29.1875,30.03125,25.84375,26.3125,16.681524,65196400
1996-04-18,26.40625,26.8125,25.90625,26.375,16.721148,41512000
1996-04-19,26.4375,26.78125,26.15625,26.34375,16.701326,19583200
1996-04-22,26.71875,26.90625,26.40625,26.8125,16.99851,13255200
1996-04-23,26.875,26.9375,26.6875,26.75,16.958879,9878000
1996-04-24,26.90625,26.90625,26.40625,26.6875,16.919256,12109200
1996-04-25,26.75,27.125,26.65625,27.0625,17.157,17942000
1996-04-26,27.125,27.21875,26.90625,26.9375,17.077757000000002,9127200
1996-04-29,26.9375,27.1875,26.84375,27.15625,17.216433,10749600
1996-04-30,27.5,27.5625,26.875,26.9375,17.077757000000002,10656000
1996-05-01,26.9375,27.125,26.90625,26.96875,17.097563,8389600
1996-05-02,27.0,27.34375,26.84375,26.96875,17.097563,14062000
1996-05-03,27.0625,27.25,26.9375,27.03125,17.137201,8015200
1996-05-06,27.125,27.125,26.59375,26.75,16.958879,11648400
1996-05-07,26.75,26.8125,26.40625,26.46875,16.780575,9534800
1996-05-08,26.25,26.5,25.90625,26.46875,17.005444,14396000
1996-05-09,26.4375,26.9375,26.4375,26.75,17.186134,9534400
1996-05-10,26.84375,27.09375,26.53125,26.59375,17.085754,8357600
1996-05-13,26.59375,27.125,26.46875,26.90625,17.286526000000002,9171600
1996-05-14,27.0625,27.21875,26.875,27.15625,17.447138,12483200
1996-05-15,27.25,27.46875,27.125,27.25,17.507366,10958000
1996-05-16,27.0,27.3125,26.90625,27.15625,17.447138,10866800
1996-05-17,27.25,27.90625,27.25,27.71875,17.808532999999997,15415200
1996-05-20,28.0,28.125,27.75,28.03125,18.009301999999998,9642800
1996-05-21,27.96875,28.03125,27.6875,27.75,17.828617,8607600
1996-05-22,27.6875,27.75,27.4375,27.59375,17.72823,8957200
1996-05-23,27.46875,27.625,27.3125,27.3125,17.547523,10414800
1996-05-24,27.375,27.46875,27.0,27.1875,17.46722,5612000
